Site,Nest,DBH,Ht
TYE,TC,154,47
TYE,TC,114,47
TYE,TC,163,42
TYE,TC,157,42
TYE,TC,154,47
TYE,TC,188,44
TYE,TC,173,47
TYE,TC,106,45
TYE,TC,160,47
TYE,TC,160,47
TYE,TC,170,47
TYE,TC,170,47
TYE,TC,141,42
TYE,TC,164,42
TYE,TC,159,44
TYE,TC,160,44
TYE,TC,167,42
TYE,TC,132,47
TYE,TC,182,44
TYE,TC,133,47
TYE,TC,153,47
TYE,TC,150,47
TYE,TC,187,44
TYE,TC,164,42
TYE,SC,198,54
TYE,SC,201,53
TYE,SC,130,40
TYE,SC,103,40
TYE,SC,154,55
TYE,SC,107,54
TYE,SC,79,25
TYE,SC,139,61
TYE,SC,124,43
TYE,SC,156,62
TYE,SC,188,63
TYE,SC,188,40
TYE,SC,239,63
TYE,SC,144,42
TYE,SC,124,42
TYE,SC,127,42
TYE,SC,137,70
TYE,SC,193,62
TYE,SC,152,40
TYE,SC,238,43
TYE,SC,121,44
TYE,SC,145,40
TYE,SC,160,57
TYE,SC,252,44
TYE,SC,112,44
TYE,SC,108,39
TYE,SC,107,20
TYE,SC,142,46
TYE,SC,156,47
TYE,SC,188,34
TYE,SC,166,36
TYE,SC,182,50
TYE,SC,143,30
TYE,SC,163,30
TYE,SC,107,38
TYE,SC,183,29
TYE,SC,140,46
TYE,SC,140,48
TYE,SC,155,47
TYE,SC,123,36
TYE,SC,152,48
TYE,SC,131,34
TYE,SC,118,37
TYE,SC,151,49
TYE,SC,142,49
TYE,SC,123,33
TYE,SC,121,49
TYE,SC,170,34
TYE,SC,130,39
TYE,SC,123,26
TYE,SC,194,47
TYE,SC,145,53
TYE,SC,136,45
TYE,SC,77,28
TYE,SC,154,38
TYE,SC,130,52
TYE,SC,147,29
TYE,SC,201,51
TYE,SC,147,38
TYE,SC,147,45
TYE,SC,145,52
TYE,SC,107,35
TYE,PL,180,48
TYE,PL,167,42
TYE,PL,130,66
TYE,PL,127,62
TYE,PL,133,75
TYE,PL,193,41
TYE,PL,152,71
TYE,PL,127,47
TYE,PL,131,42
TYE,PL,152,70
TYE,PL,159,34
TYE,PL,166,48
TYE,PL,180,74
TYE,PL,93,35
TYE,PL,104,15
TYE,PL,104,38
TYE,PL,141,54
TYE,PL,79,39
TYE,PL,122,53
TYE,PL,173,54
TYE,PL,178,79
TYE,PL,124,29
TYE,PL,183,45
TYE,PL,83,38
TYE,PL,121,38
TYE,PL,98,34
TYE,PL,140,50
TYE,PL,101,26
TYE,PL,97,38
TYE,PL,109,45
TYE,PL,107,58
TYE,PL,137,58
TYE,PL,138,37
TYE,PL,216,43
TYE,PL,107,47
TYE,PL,111,47
TYE,PL,117,61
TYE,PL,84,37
TYE,PL,158,56
